Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,BbMxH,BbMxD,BbMxA,BbAvH,BbAvD,BbAvA,Bb1X2,Season
I1,2014-10-29,Palermo,Chievo,1.0,0.0,H,16.0,15.0,6.0,3.0,15.0,17.0,4.0,3.0,2.0,1.0,0.0,0.0,1.91,3.4,4.0,1.98,3.45,4.44,2.02,3.6,4.44,1.96,3.35,4.09,46.0,2014/2015
I1,2014-10-29,Roma,Cesena,2.0,0.0,H,16.0,4.0,6.0,1.0,11.0,13.0,7.0,3.0,1.0,1.0,0.0,0.0,1.18,6.5,15.0,1.2,7.12,20.98,1.24,7.4,21.0,1.19,6.64,16.39,46.0,2014/2015
I1,2014-10-29,Torino,Parma,1.0,0.0,H,15.0,10.0,5.0,2.0,11.0,17.0,4.0,7.0,1.0,3.0,0.0,1.0,1.83,3.4,4.33,1.89,3.59,4.7,2.1,3.65,4.7,1.89,3.45,4.26,46.0,2014/2015
I1,2014-10-29,Inter Milan,Sampdoria,1.0,0.0,H,17.0,10.0,5.0,4.0,11.0,19.0,4.0,4.0,2.0,2.0,0.0,0.0,1.8,3.6,4.33,1.81,3.69,5.09,1.84,3.75,5.25,1.78,3.52,4.81,46.0,2014/2015
I1,2014-10-30,Verona,Lazio,1.0,1.0,D,11.0,10.0,3.0,3.0,13.0,14.0,2.0,3.0,2.0,2.0,0.0,1.0,3.2,3.3,2.25,3.42,3.52,2.25,3.5,3.55,2.3,3.27,3.36,2.22,45.0,2014/2015
I1,2014-11-01,Empoli,Juventus,0.0,2.0,A,12.0,18.0,4.0,7.0,15.0,16.0,6.0,6.0,2.0,1.0,1.0,0.0,7.5,4.2,1.44,9.3,4.48,1.45,9.57,4.75,1.48,8.16,4.27,1.43,46.0,2014/2015
I1,2014-11-01,Napoli,Roma,2.0,0.0,H,15.0,8.0,6.0,2.0,13.0,11.0,6.0,5.0,2.0,3.0,0.0,0.0,2.4,3.3,2.9,2.38,3.49,3.19,2.5,3.51,3.2,2.38,3.33,3.01,46.0,2014/2015
I1,2014-11-01,Parma,Inter Milan,2.0,0.0,H,11.0,14.0,4.0,1.0,18.0,19.0,5.0,2.0,3.0,1.0,0.0,0.0,3.4,3.4,2.1,3.54,3.42,2.25,3.6,3.5,2.3,3.34,3.31,2.22,46.0,2014/2015
I1,2014-11-02,Milan,Palermo,0.0,2.0,A,14.0,13.0,3.0,7.0,10.0,15.0,4.0,4.0,3.0,3.0,0.0,0.0,1.5,4.0,7.0,1.55,4.29,7.13,1.55,4.5,8.0,1.51,4.09,6.85,46.0,2014/2015
I1,2014-11-02,Chievo,Sassuolo,0.0,0.0,D,12.0,9.0,1.0,3.0,20.0,16.0,5.0,5.0,1.0,6.0,0.0,0.0,2.4,3.2,3.0,2.45,3.25,3.28,2.5,3.3,3.4,2.42,3.18,3.06,46.0,2014/2015
